PC1,PC2,PC3,PC4,PC5,label
-0.04967728,-0.938354,-0.3581505,1.7286339,-0.17496172,Unhealthy
-4.0431385,0.19224271,-1.0324917,-0.9294025,-0.13911381,Unhealthy
-1.0064118,0.7193669,-0.27158067,-0.97143346,-0.7417245,Unhealthy
-3.844594,0.59295094,0.22066353,-1.760646,-0.32842168,Unhealthy
-4.321663,0.5113434,0.062807575,-1.7763819,-0.0832055,Unhealthy
-5.188002,-0.17545675,-1.3307432,0.0016656647,-0.08663594,Unhealthy
-3.6393328,0.3912581,0.07693994,-1.2861245,-0.00056257745,Unhealthy
-4.748284,-0.331856,-0.6165309,1.1136845,-0.37151054,Unhealthy
-5.5650396,0.10576358,-1.7464789,-0.0011961211,0.28245717,Unhealthy
-2.7213624,0.18222865,0.18710838,0.18667616,-0.59063023,Unhealthy
3.033941,0.66420376,1.5341377,-0.26466942,1.0821886,Unhealthy
-1.9067917,-0.0009860968,0.58226615,-0.12468753,-0.6796323,Unhealthy
-4.3485193,0.54489964,0.013931037,-1.5459347,-0.44431847,Unhealthy
-0.8894005,-0.83911175,-0.2284104,-0.35940993,-1.5031699,Unhealthy
-1.2717592,0.822915,-0.105089,0.55636346,-1.0246632,Unhealthy
1.1917465,-1.1465503,-0.8573974,1.0315714,-0.35254225,Unhealthy
-5.22821,0.234958,-1.3535486,-0.8170686,0.31718734,Unhealthy
-4.3618093,0.54189295,0.03699789,-1.8227807,-0.26165184,Unhealthy
-0.39665088,-1.090452,-0.6011759,2.0368907,0.02290339,Unhealthy
-2.8557098,0.63829356,0.0035488158,-0.53561497,0.17542855,Unhealthy
0.09974814,0.8166424,0.37845775,-0.49190137,1.0099558,Unhealthy
2.177366,1.8555757,1.1240636,-0.27800015,0.7898876,Unhealthy
-4.478607,-1.5899396,-0.84262246,2.5881717,0.6218149,Unhealthy
-4.5557814,0.1797857,-0.86178434,-0.87001896,0.794469,Unhealthy
-1.94094,0.702842,0.65559477,-0.85203046,0.6462622,Unhealthy
-0.03566531,0.06875243,0.95450443,-0.42804465,0.5162634,Unhealthy
0.94322073,0.92946213,0.27599615,-0.4770143,-0.35969082,Unhealthy
0.7929082,-2.3762162,-0.8861226,0.8197711,-0.35172266,Unhealthy
-4.471271,-0.45240352,-0.13191564,-0.50680244,0.57644314,Unhealthy
-4.166161,0.43499115,-0.1573109,-1.6012926,0.1478491,Unhealthy
-2.9428933,-0.5068881,-0.12425098,1.1866858,0.18139127,Unhealthy
-1.0225688,0.8197454,0.7775202,-0.5130784,0.08419547,Unhealthy
-3.1393943,-0.88113797,0.10578506,1.53782,0.47411567,Unhealthy
-0.7446223,0.12557039,0.85475326,-1.1072598,-0.3583344,Unhealthy
-1.0638316,-0.17526773,0.6992824,-0.48752373,1.5844667,Unhealthy
-1.1131016,0.70056456,0.7893857,-0.5127143,0.0048923483,Unhealthy
-4.579027,-0.9654232,-0.57288367,0.6235147,0.047909338,Unhealthy
-0.29583222,0.6292192,0.46470186,-0.075286224,0.7758171,Unhealthy
-2.5087924,-0.39945555,1.5118785,-0.88534904,-0.15391375,Unhealthy
-2.9406502,-0.004773098,-0.5040003,0.16362126,-0.1317991,Unhealthy
-5.0833397,-0.1583855,-1.2572482,-0.013542159,-0.23070219,Unhealthy
-3.6585846,-0.06468833,0.10517304,-0.6877316,0.5783099,Unhealthy
-3.6304216,-0.9037764,-0.7373324,2.015022,0.13106088,Unhealthy
-4.577805,-1.3374853,-0.8700168,3.4931831,-0.94991183,Unhealthy
-1.2728031,-0.06230573,1.4919132,-0.16270398,-0.17264037,Unhealthy
0.08587424,1.2245195,0.40581143,-0.48918155,-0.012305433,Unhealthy
-1.2718832,-0.22126743,0.6293572,-0.91301686,2.1949692,Unhealthy
-5.05043,-0.8174264,-0.41853252,1.2592999,0.3379817,Unhealthy
-0.97544914,0.5882512,-0.14725496,-1.108292,0.08000037,Unhealthy
-3.3411455,0.5807815,0.4274752,-1.7643149,-0.010693352,Unhealthy
-4.758601,-0.16039819,-1.0260879,0.44301108,0.20434354,Unhealthy
2.6777153,0.9771392,1.0667408,-0.2487658,-0.80396664,Unhealthy
-5.0496287,-0.8121829,-0.39283854,1.2076628,0.31017327,Unhealthy
1.7564957,1.3672693,1.5945356,1.151371,-0.17124264,Unhealthy
-2.935823,0.044718947,-0.019365342,-0.09225571,-0.42065752,Unhealthy
-4.473951,-1.1944941,-0.96167815,2.9342432,-0.81541014,Unhealthy
-4.59282,-0.19825745,-1.129222,-0.1969176,0.24338256,Unhealthy
-2.9024298,0.48738632,0.021154976,-0.7072124,0.9984382,Unhealthy
-3.2654393,-0.10615471,0.24525814,-0.49567017,0.11812242,Unhealthy
-2.327379,-0.45911732,0.31576073,0.42738742,1.134365,Unhealthy
-0.72131866,1.1953796,0.20888546,-0.8185317,0.036773007,Unhealthy
-1.4701593,0.124038845,0.14759363,-0.24721651,1.0572201,Unhealthy
-1.2957286,-0.118639156,1.687043,-0.14766435,-0.2132095,Unhealthy
-0.582312,-2.1126492,0.15802251,1.6263326,-0.3008728,Unhealthy
-4.580801,-0.09418218,-0.90542257,0.008890446,-0.18035057,Unhealthy
-3.9799156,-0.6210794,0.2378595,0.80451304,0.09973906,Unhealthy
-0.22468945,-2.6409032,0.06984014,1.8537289,0.771858,Unhealthy
